regWord,ipaWord,formality,formalityScore,totalSentenceCount
connect,kənɛkt,0,0.0606061,33
disagree,dɪsəgri,0,0.181818,33
maps,mæps,0,0.272727,33
patch,pætʃ,0,0.242424,33
pop,pap,0,0.151515,33
scout,skawt,0,0.181818,33
mid,mɪd,0,0.0625,32
miserable,mɪzərəbəl,0,0.1875,32
profile,profajl,0,0.25,32
scratch,skrætʃ,0,0.28125,32
spawn,span,0,0,32
wins,wɪnz,0,0.28125,32
lease,lis,0,0.25,32
afterwards,æftərwərdz,0,0.28125,32
browsing,brawzɪŋ,0,0.03125,32
confident,kanfədənt,0,0.21875,32
counsel,kawnsəl,0,0.21875,32
amazon,æməzan,0,0.0322581,31
awhile,əwajl,0,0.0645161,31
bands,bændz,0,0.225806,31
blown,blon,0,0.225806,31
breaks,breks,0,0.290323,31
bug,bəg,0,0.0645161,31
channel,tʃænəl,0,0.225806,31
cheaper,tʃipər,0,0.290323,31
checking,tʃɛkɪŋ,0,0.0645161,31
commitment,kəmɪtmənt,0,0.258065,31
computers,kəmpjutərz,0,0.129032,31
conversations,kanvərseʃənz,0,0.193548,31
digital,dɪdʒətəl,0,0.0967742,31
uncomfortable,ənkəmfərtəbəl,0,0.258065,31
fox,faks,0,0.290323,31
episodes,ɛpəsodz,0,0.0666667,30
charity,tʃɛrəti,0,0.2,30
differently,dɪfrəntli,0,0.266667,30
phones,fonz,0,0.2,30
socially,soʃəli,0,0.2,30
vent,vɛnt,0,0.166667,30
weekends,wikɛndz,0,0.2,30
virus,vajrəs,0,0.275862,29
wont,wɔnt,0,0,29
burn,bərn,0,0.275862,29
cave,kev,0,0.275862,29
chocolate,tʃɔklət,0,0.172414,29
cigarettes,sɪgərɛts,0,0.206897,29
dig,dɪg,0,0.241379,29
downloaded,dawnlodəd,0,0,29
emotionally,ɪmoʃnəli,0,0.275862,29
folder,foldər,0,0.0689655,29
jokes,dʒoks,0,0.137931,29
linked,lɪŋkt,0,0.275862,29
preferably,prɛfərəbli,0,0.137931,29
ruin,ruən,0,0.275862,29
non,nan,0,0.285714,28
randomly,rændəmli,0,0.0357143,28
accidentally,æksədɛntəli,0,0.0714286,28
blank,blæŋk,0,0.285714,28
cheating,tʃitɪŋ,0,0.0357143,28
chrome,krom,0,0.107143,28
sorts,sɔrts,0,0.214286,28
tab,tæb,0,0,28
valve,vælv,0,0.0740741,27
workout,wərkawt,0,0.148148,27
beers,bɪrz,0,0.037037,27
cheated,tʃitəd,0,0.111111,27
checks,tʃɛks,0,0.296296,27
debt,dɛt,0,0.259259,27
pizza,pitsə,0,0.0740741,27
ripped,rɪpt,0,0.259259,27
seattle,siætəl,0,0.222222,27
dual,duəl,0,0.222222,27
frankly,fræŋkli,0,0.296296,27
logo,logo,0,0,27
drives,drajvz,0,0.230769,26
guild,gɪld,0,0.192308,26
hook,hʊk,0,0.115385,26
hooked,hʊkt,0,0.153846,26
hurting,hərtɪŋ,0,0.115385,26
illegal,ɪligəl,0,0.115385,26
batch,bætʃ,0,0.153846,26
convince,kənvɪns,0,0.0769231,26
correctly,kərɛktli,0,0.269231,26
crafting,kræftɪŋ,0,0.0384615,26
semester,səmɛstər,0,0.192308,26
sore,sɔr,0,0.192308,26
stir,stər,0,0.153846,26
tag,tæg,0,0.192308,26
torches,tɔrtʃəz,0,0.0769231,26
zone,zon,0,0.230769,26
